geonameid	name	lat	lon	feature_code	admin1	admin2	population	timezone	modified
480060	Tver	56.85836	35.90057	PPLA	77		420065	Europe/Moscow	2022-10-02
480085	Tuzha	57.60638	47.93533	PPLA2	33		5002	Europe/Kirov	2024-01-09
480089	Tuymazy	54.60638	53.71179	PPLA2	08		68829	Asia/Yekaterinburg	2024-12-12
480122	Tutayev	57.87292	39.52969	PPLA2	88		43828	Europe/Moscow	2023-10-06
480267	Turki	51.98692	43.27482	PPLA2	67		6821	Europe/Saratov	2025-07-16
480507	Tul’skiy	44.51665	40.17725	PPLA2	01		0	Europe/Moscow	2024-01-09
480562	Tula	54.19609	37.61822	PPLA	76		482873	Europe/Moscow	2026-04-14
480716	Tuapse	44.10083	39.08326	PPLA2	38	480713	64234	Europe/Moscow	2024-09-12
480798	Tsurib	42.23826	46.8343	PPLA2	17		1915	Europe/Moscow	2023-10-06
480876	Tsimlyansk	47.64801	42.09345	PPLA2	61		15341	Europe/Moscow	2024-09-12
481036	Tselina	46.53421	41.03158	PPLA2	61		11075	Europe/Moscow	2024-09-12
481117	Tsagan Aman	47.56276	46.72014	PPLA2	24		5769	Europe/Moscow	2024-08-11
481350	Trubchevsk	52.58031	33.76574	PPLA2	10		16100	Europe/Moscow	2023-04-05
481439	Trosna	52.44482	35.78014	PPLA2	56		2627	Europe/Moscow	2023-05-11
481453	Troparëvo	55.65625	37.48496	PPLH	48		118000	Europe/Moscow	2016-04-06
481542	Troitskoye	46.41303	44.25788	PPLA2	24		10025	Europe/Moscow	2024-08-11
481548	Troitsko-Pechorsk	62.71934	56.17172	PPLA2	34		8414	Europe/Moscow	2024-05-14
481900	Tpig	41.78061	47.58907	PPLA2	17		2823	Europe/Moscow	2023-06-14
481955	Totskoye	52.52784	52.74648	PPLA2	55		7161	Asia/Yekaterinburg	2024-11-12
481964	Tosno	59.54	30.8775	PPLA2	42		40198	Europe/Moscow	2023-10-06
481985	Torzhok	57.0436	34.96221	PPLA2	77		48546	Europe/Moscow	2023-05-11
482042	Toropets	56.49954	31.6392	PPLA2	77		14187	Europe/Moscow	2023-05-11
482123	Torbeyevo	54.07743	43.24993	PPLA2	46		9138	Europe/Moscow	2024-05-14
482219	Tonshayevo	57.73622	47.01226	PPLA2	51		4574	Europe/Moscow	2023-12-11
482230	Tonkino	57.37138	46.45823	PPLA2	51		5406	Europe/Moscow	2023-12-11
482255	Tomsino	56.45202	28.53917	PPLA3	60		0	Europe/Moscow	2017-08-01
482283	Tolyatti	53.5303	49.3461	PPL	65		702879	Europe/Samara	2022-09-17
482309	Tolstoy-Yurt	43.4444	45.7794	PPLA2	12		7772	Europe/Moscow	2023-12-11
482432	Tolbazy	54.01106	55.88688	PPLA2	08		10183	Asia/Yekaterinburg	2024-12-12
482589	Tlyarata	42.10552	46.35416	PPLA2	17		1898	Europe/Moscow	2023-10-06
482965	Timashyovsk	45.61694	38.94528	PPL	38		53940	Europe/Moscow	2022-09-16
482986	Tim	51.62576	37.12733	PPLA2	41		3673	Europe/Moscow	2023-10-06
483019	Tikhvin	59.63924	33.52555	PPLA2	42		62075	Europe/Moscow	2026-04-17
483029	Tikhoretsk	45.85307	40.11874	PPLA2	38		64387	Europe/Moscow	2024-09-12
483137	Teykovo	56.85853	40.54028	PPLA2	21		36015	Europe/Moscow	2023-11-07
483142	Adygeysk	44.88524	39.19059	PPLA2	01	11205695	12208	Europe/Moscow	2024-01-09
483150	Tetyushi	54.93768	48.83267	PPLA2	73		11826	Europe/Moscow	2025-09-09
483341	Ternovka	51.678	41.60047	PPLA2	86		4703	Europe/Moscow	2025-07-16
483430	Teren’ga	53.71614	48.36916	PPLA2	81		5144	Europe/Ulyanovsk	2026-03-19
483439	Terekli-Mekteb	44.16606	45.8719	PPLA2	17		7799	Europe/Moscow	2023-10-06
483495	Terek	43.48329	44.13781	PPLA2	22		21180	Europe/Moscow	2024-01-09
483541	Terbuny	52.14526	38.28114	PPLA2	43		6936	Europe/Moscow	2023-12-11
483551	Tyoply Stan	55.62047	37.49338	PPLX	48	562221	125000	Europe/Moscow	2016-03-31
483575	Tëploye	53.61691	37.5887	PPLA2	76		5149	Europe/Moscow	2023-05-11
