geoname_id	name	preferred	historic	from	to
485516	Свияжск	1	0
485531	Свистуха	1	0
485557	Свирьстрой	1	0
485598	Свинская	1	0
485630	Свиблово	1	0
485639	Светогорск	1	0
485683	Светлое	1	0
485699	Светлогорск	1	0
485763	Свердловский	1	0
485768	Свердлово	1	0
485785	Свень	1	0
485817	Суземка	1	0
485818	Суземь	1	0
485824	Суздаль	1	0
485878	Суворово	1	0
486073	Суроватиха	1	0
486092	Сууркюля	1	0
486211	Зеленая Горка	1	0
486355	Сулинский	1	0
486645	Сухобезводное	1	0
486754	Сухарево	1	0
486777	Суханово	1	0
486864	Судаково	1	0
486979	Ступинo	1	0
487111	Струги	1	0
487131	Стромынь	1	0
487227	Стрельна	1	0
487321	Страхово	1	0
487637	Степановское	1	0
487723	Степанова Гора	1	0
487740	Степаньково	1	0
487865	Старый Вышков	1	0
487912	Старый Ропск	1	0
487928	Старый Оскол	1	0
487944	Анзорей	1	0
488119	Старые Бобовичи	1	0
488128	Старые Атаги	1	0
489057	Старая Сунжа	1	0
489102	Старая Полтавка	1	0
489158	Старая Ладога	1	0
489162	Старая Купавна	1	0
489164	Старая Кулатка	1	0
489238	Брынь	1	0
489290	Становое	1	0
489534	Средние Ачалуки	1	0
489729	Спас-Заулок	1	0
489739	Спас-Слободка	1	1
489846	Спас-Талица	1	0
489852	Спас-Нередицы	1	0
489963	Совполье	1	0
489994	Кетченеры	1	0
489998	Шатой	1	0
490069	Советск	1	0
490354	Сосновцы	1	0
490510	Сорокино	1	0
490952	Солодово	1	0
491000	Солнечная Поляна	1	0
491059	Солдырь	1	0
491282	Сокол	1	0
491352	Софрино	1	0
491513	Сновское	1	0
491558	Снетково	1	0
491564	Снегирёвка	1	0
491712	Смирново	1	0
491822	Слуды	1	0
491832	Слудка	1	0
492158	Слащевская	1	0
492502	Сизый Бугор	1	0
492561	Сивково	1	0
492568	Сивинь	1	0
492765	Синодское	1	0
492768	Новосиньково	1	0
492786	Синий Колодец	1	0
492815	Верхнее Синьгово	1	0
492827	Синёво	1	0
492906	Семендяево	1	0
492939	Симагино	1	0
492961	Силино	1	0	1949
493050	Сифолово	1	0
493074	Сидорово	1	0
493461	Шумейка	1	0
493511	Шульгино	1	0
493702	Михайловск	1	0
493866	Кварцитный	1	0
493867	Шокша	1	0
493970	Шлиссельбург	1	0
494160	Ширяево	1	0
494970	Шёлтозеро	1	0
494981	Шеломы	1	0
495000	Шелковская	1	0
495116	Шабаново	1	0
495344	Щёлково	1	0
495442	Щапово	1	0
495630	Шартово	1	0
495642	Шарой	1	0
495957	Шали	1	0
495969	Шалажи	1	0
496151	Шабурново	1	0
496204	Шаами-Юрт	1	0
496225	Сёйты	1	0
496307	Северный-Коспашский	1	0
496361	Северный ж/м	1	0
496551	Серово	1	0
496564	Серноводское	1	0
496626	Сергиевка	1	0
496761	Сергиевка	1	0
496888	Серебрянский	1	0
496903	Серебрянский	1	0
496957	Серафимович	1	0
497055	Сенькино	1	0
497102	Сенеж	1	0
497295	Семёновское	1	0
497337	Семёновская	1	0
497450	Семёнов	1	0
497506	Семено	1	0
497632	Казенное Село	1	0
497643	Сельниково	1	0
497913	Сеитово	1	0
